file,owning_package,package_declared_from_compiler,static_import_reachable,block_graph_role,reason,observed_build_state,derived_submodule,artifact
sev_compiler/frontend/semantic/semantic/src/package/generic.sev,sev_compiler/frontend/semantic,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/frontend/semantic/semantic/src/package/tests.sev,sev_compiler/frontend/semantic,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/frontend/semantic/semantic/src/package.sev,sev_compiler/frontend/semantic,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/hir/block/dependencies.sev,sev_compiler/hir,no,no,dormant block graph API,index/resolve/consume APIs; indexing calls currently only in its inline tests,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/hir/hir/src/lib.sev,sev_compiler/hir,no,no,dormant block graph export,exports HIR block API; HIR package has no incoming declared compiler dependency,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/hir/module/hierarchy.sev,sev_compiler/hir,no,no,legacy hierarchy bridge,builds provenance from already-resolved bodies; not block-first partitioning,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/hir/module/module.sev,sev_compiler/hir,no,no,empty block graph carrier,Program.blocks defaults to BlockGraph(); no production population found,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/lir/lowering/lowering/src/lib.sev,sev_compiler/lir/lowering,no,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/lir/mlir/build.sev,sev_compiler/lir/mlir,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/lir/mlir/mlir/src/emit/mod.sev,sev_compiler/lir/mlir,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/lir/mlir/mlir/src/ir/tests.sev,sev_compiler/lir/mlir,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/lir/mlir/mlir/src/lib.sev,sev_compiler/lir/mlir,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/lir/mlir/mlir/src/verify.sev,sev_compiler/lir/mlir,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/mir/cfg/availability.sev,sev_compiler/mir/cfg,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/mir/cfg/block.sev,sev_compiler/mir/cfg,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/mir/cfg/dominance.sev,sev_compiler/mir/cfg,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/mir/mir/src/build/mod.sev,sev_compiler/mir,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/mir/mir/src/lib.sev,sev_compiler/mir,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/mir/mir/src/passes.sev,sev_compiler/mir,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/mir/mir/src/verify.sev,sev_compiler/mir,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/mir/ownership/ownership/src/lib.sev,sev_compiler/mir/ownership,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/mir/ownership/ownership/src/validate/mod.sev,sev_compiler/mir/ownership,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/pipeline.sev,sev_compiler,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/constraint/dispatch.sev,sev_compiler/syntax,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/constraint/graph.sev,sev_compiler/syntax,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/constraint/proof.sev,sev_compiler/syntax,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/constraint/refinement.sev,sev_compiler/syntax,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/function/trait.sev,sev_compiler/syntax,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/grammar/contracts.sev,sev_compiler/syntax,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/grammar/grammar.sev,sev_compiler/syntax,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/array/array.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/array/storage.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/bool/bool.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/bytes/bytes.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/char/char.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/char/encoding.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/char/units.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/char/utf8.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/enum/enum.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/error/error.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/float/float.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/int/int.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/iterator/iterator.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/numeric/conversion.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/numeric/operators.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/numeric/power.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/pointer/pointer.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/primitive.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/string/core.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/string/format.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/string/intrinsics.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/string/methods.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/string/storage.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/string/string.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/string/string_lists.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/tuple/tuple.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/primitive/units/units.sev,sev_compiler/syntax/primitive,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/sentence/syntax.sev,sev_compiler/syntax,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/type/integer_spelling.sev,sev_compiler/syntax,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/type/scalar_conversion.sev,sev_compiler/syntax,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/type/slice_bounds.sev,sev_compiler/syntax,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/type/storage.sev,sev_compiler/syntax,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/syntax/type/tagged.sev,sev_compiler/syntax,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
